x_coord	y_coord	score
646	147	0.32333073
614	154	0.26147935
226	518	0.2550169
650	146	0.24899045
506	340	0.21567157
855	353	0.21560201
639	148	0.20259467
633	149	0.17783037
230	517	0.169431
366	394	0.15696165
519	337	0.1543698
359	394	0.15215376
188	188	0.13933614
491	100	0.13874152
669	140	0.12439582
654	144	0.121836394
608	156	0.11937365
203	182	0.11841479
597	443	0.11802718
866	351	0.10891965
487	102	0.10263994
603	440	0.0976502
859	352	0.097148985
628	152	0.09708026
768	463	0.091608316
713	403	0.091250986
870	349	0.08967504
850	355	0.0893127
593	444	0.08763692
513	338	0.08615026
355	136	0.08491793
222	519	0.08396503
888	342	0.08091459
703	407	0.07949355
355	396	0.07906404
478	103	0.07310483
593	160	0.07071191
797	374	0.069913805
709	405	0.06848356
378	391	0.0670239
38	241	0.0618487
566	83	0.06096807
517	93	0.058140337
772	461	0.056850165
665	141	0.05641496
374	392	0.053067386
502	341	0.05235818
398	124	0.05079645
392	124	0.04555154
234	516	0.041204214
353	487	0.038887024
495	99	0.031202525
523	334	0.029495776
684	493	0.027161896
588	445	0.026979089
341	490	0.025349587
744	474	0.024879932
42	240	0.024200141
512	94	0.023089677
167	195	0.021150738
584	446	0.017158628
196	289	0.016069889
351	398	0.014486015
588	162	0.014275253
200	287	0.013692826
176	191	0.013433427
382	390	0.008713722
791	376	0.00785166
482	102	0.0045520365
560	83	0.0019821227
874	348	-0.0010489225
764	465	-0.0017918348
815	367	-0.0018283129
370	393	-0.0024888515
781	380	-0.012606323
472	103	-0.014321238
624	153	-0.015350372
505	97	-0.016333103
461	107	-0.017138302
351	137	-0.01774019
403	123	-0.018584192
192	185	-0.01874879
33	243	-0.019563615
217	519	-0.021033108
748	472	-0.021776468
831	190	-0.02314809
180	189	-0.024094194
619	154	-0.02597928
884	344	-0.028279781
83	223	-0.03018853
466	106	-0.0325104
234	539	-0.03420046
579	79	-0.034302533
811	369	-0.038502514
674	139	-0.038744956
842	437	-0.041779578
827	193	-0.042325824
838	187	-0.04345125
806	371	-0.044780523
346	398	-0.04478681
206	179	-0.044930607
544	533	-0.045813143
556	84	-0.04583168
740	475	-0.046149105
570	82	-0.04627368
708	485	-0.046416312
179	553	-0.046421766
679	493	-0.048900545
605	515	-0.050192624
824	444	-0.050494432
109	213	-0.05231142
604	157	-0.05455908
544	88	-0.055283576
823	194	-0.05545503
163	196	-0.055879027
879	345	-0.05787626
388	388	-0.060238063
218	544	-0.06109506
167	555	-0.061262906
347	488	-0.062041253
696	132	-0.06219974
238	515	-0.06377238
176	295	-0.06403959
173	554	-0.06430867
213	521	-0.0676063
308	597	-0.06796199
341	399	-0.069010675
535	90	-0.06965175
831	362	-0.070274025
718	402	-0.071302384
170	298	-0.07339969
598	159	-0.07872999
752	36	-0.08118147
487	548	-0.082053035
666	498	-0.08246434
321	405	-0.0826492
187	552	-0.08418992
302	598	-0.08541152
753	471	-0.089120895
199	183	-0.08939555
358	133	-0.090090364
347	138	-0.09021446
90	221	-0.091866165
498	343	-0.09222385
407	122	-0.09295586
658	143	-0.09346098
211	546	-0.09359622
801	373	-0.093791515
575	81	-0.09510556
553	87	-0.09728095
79	330	-0.09958312
670	497	-0.10060689
760	469	-0.1014061
690	133	-0.1027455
337	491	-0.10403851
523	94	-0.10447401
628	509	-0.106208146
236	276	-0.10623124
494	344	-0.10639638
584	163	-0.10640508
322	144	-0.107159525
212	179	-0.107269585
830	441	-0.10954645
540	535	-0.11168116
651	502	-0.112173796
229	542	-0.11269158
151	199	-0.11283514
157	199	-0.11346564
679	139	-0.11378789
229	278	-0.11608231
704	486	-0.11780733
533	536	-0.118012846
245	273	-0.119321615
601	517	-0.12168646
311	497	-0.12218365
340	139	-0.12411532
399	497	-0.12602898
426	565	-0.12684825
293	599	-0.12699535
393	499	-0.12825331
784	377	-0.12920353
84	330	-0.1298691
894	340	-0.13144207
548	531	-0.13252819
656	502	-0.13562635
777	460	-0.13570774
198	549	-0.13571462
698	488	-0.13625318
384	575	-0.138058
587	523	-0.13840088
548	87	-0.13909402
837	359	-0.1395216
315	406	-0.13961306
472	552	-0.13963723
845	355	-0.13986474
388	126	-0.13988993
900	338	-0.14271298
184	187	-0.14311358
724	479	-0.14333546
225	173	-0.14477822
147	201	-0.14760667
325	590	-0.14765191
220	281	-0.14815977
660	501	-0.14904574
139	203	-0.14997602
718	481	-0.15162522
361	508	-0.15219465
610	515	-0.15262827
731	477	-0.15457252
539	88	-0.15825704
713	485	-0.1585719
646	504	-0.15952197
616	71	-0.16240734
690	492	-0.16257384
623	511	-0.16367885
207	547	-0.16449207
