,x,y
0,[24.],657.3980488699733
1,[82.92778556],645.5707115807393
2,[142.16463293],634.7412427092148
3,[201.6075215],624.9423290193496
4,[261.15343069],616.1992937007425
5,[320.90538108],608.5053751708992
6,[380.76035207],601.8822228675709
7,[440.71834367],596.3354390212655
8,[500.77935587],591.8706355048844
0,675.8511895600418,[97.]
1,693.7362880895283,[154.45629126]
0,[27.],225.27562847955858
1,[85.5975195],211.83983140669213
2,[144.79835967],200.8632529697263
3,[204.45169034],192.44364425241764
4,[264.40668134],186.6525217172815
5,[324.5125025],183.53474351984858
6,[384.69373875],183.10941068636842
0,[881.],652.6607115615761
0,[660.],563.3440229028474
0,[259.],233.09660495252916
1,[319.18243649],232.29442697994978
2,[379.38927786],230.69673795602583
0,524.6534023602745,[57.]
1,550.0938781813103,[111.52210442]
0,[480.],182.27714782603016
1,[540.19283857],183.163039617496
0,803.8254023588453,[81.]
0,727.5114421253687,[102.]
0,[416.],192.8554516363256
0,790.9451723352882,[475.]
0,679.2695773088375,[433.]
0,758.4255389620849,[257.]
1,769.2538586370268,[316.22184437]
0,893.216535332752,[99.]
0,[445.],238.3272639242815
1,[503.94978996],248.61217395410267
0,641.1444510858737,[346.]
0,780.2866875585736,[26.]
0,755.2423339011925,[70.]
0,[138.],253.92857142857054
0,692.7421250186409,[25.]
0,780.971433823859,[258.]
0,880.1293251720099,[472.]
0,746.8874042553689,[590.]
0,852.0008881721196,[99.]
0,591.7063153676506,[227.]
0,627.2496113600107,[103.]
0,[600.],117.99109246760827
1,[614.82776555],176.33338069801698
0,[58.],1196.791004248321
1,[70.54490898],1138.6419855271472
2,[83.6125225],1079.8622801865736
3,[97.02860572],1021.4176812919054
4,[110.96739348],962.7377340126404
5,[125.42888578],904.0565201983322
6,[140.41308262],845.616899767894
7,[155.919984],787.6705107095959
8,[172.29805961],729.2650092967959
9,[189.19883977],672.0071930938481
10,[207.31926385],614.0154577187434
11,[226.31086217],557.0097402964539
12,[246.52210442],500.5858387647096
13,[268.47569514],444.2544909548835
14,[292.34586917],388.8624125673157
15,[318.65533107],334.8791016755108
16,[348.62372474],282.41918581194614
17,[383.64492899],233.30165809711025
18,[426.33246649],191.19462066643018
19,[480.5195039],165.85314148823954
20,[539.23664733],173.8915945421029
21,[588.02240448],208.6537476128749
22,[626.87677536],254.573157705202
23,[659.28445689],305.24000126541205
24,[687.33626725],358.17834818581696
25,[712.60032006],413.06838836438965
26,[735.42508502],468.53610563161055
27,[756.5075015],524.7263291725149
28,[776.37027405],582.0207763670219
29,[794.83916783],639.0853861085698
30,[812.43688738],696.856844828731
31,[828.98919784],754.2231440643386
32,[845.01880376],812.5745038304749
33,[860.35147029],870.9637482997032
34,[874.98719744],929.0475574260076
35,[889.10022004],987.229516963976
36,[902.86477295],1046.0296033656127
37,[916.10662132],1104.5116946685935
