,x,y
0,[192.],776.8724091754633
1,[245.08181636],805.083354676864
2,[299.75515103],830.2139277527407
3,[355.92638528],851.8835881170969
4,[413.50190038],869.7304748901277
5,[472.10722144],883.3589271269843
6,[531.64872975],892.5169408182948
7,[591.65833167],896.9657886540701
8,[651.85517103],896.6061466234725
0,[25.],792.3741878697726
1,[77.73214643],821.2533639894049
2,[131.59331866],848.243881284056
3,[186.45069014],873.1293518100341
4,[242.23784757],895.7412980074205
5,[298.95479096],915.9438217939651
6,[356.53510702],933.5800901648125
0,[412.],171.20276018438312
1,[459.85957191],207.68018163563892
2,[508.76935387],242.81881943442767
3,[558.67933587],276.4468088748102
4,[609.68953791],308.4892985111947
5,[661.74994999],338.76618292238896
0,[25.],148.00647227525343
1,[76.10842168],179.72812626022807
2,[126.16503301],213.24256025722684
3,[175.07421484],248.3263595194083
4,[222.93158632],284.89217222095874
0,[374.],280.72869022335067
1,[429.62112422],303.67057228862757
2,[482.68533707],332.0671975087166
3,[533.12622525],364.952649504108
0,[568.],524.884064641218
1,[619.03340668],556.7039244983687
0,[402.],27.781506680381142
1,[447.90558112],66.6530261347836
2,[495.4834967],103.54338668378142
3,[544.77555511],138.11569749258996
4,[595.86537307],170.03171330174888
0,[250.],66.00236277490569
1,[299.30986197],100.46256559841845
2,[351.37527506],130.7129159961837
0,[333.],36.49962604524512
1,[381.33926785],72.3137575297813
2,[429.81936387],108.03095903788551
3,[478.40508102],143.623755565699
0,[519.],649.2516795126011
1,[569.99539908],681.2235590191431
2,[620.01760352],714.7222482883174
0,[563.],384.98916619931987
1,[617.46609322],410.6222837901324
0,[288.],334.38461378034094
1,[338.32066413],367.33330040684973
2,[388.72654531],400.3377849785346
3,[439.08981796],433.3143705776315
4,[489.45309062],466.29095617672834
0,[166.],97.65386526843724
1,[214.35767153],133.51626284313056
0,[266.],499.67793374779956
1,[321.32306461],522.8796269240656
0,[212.],393.3302660738042
1,[266.62852571],418.46649873970557
2,[320.16883377],446.04572988617576
3,[372.51210242],475.82545675192165
4,[423.65833167],507.6145910532663
5,[473.6075215],541.2264145088623
0,[531.],577.8591689635667
1,[581.61232246],610.3670988064423
2,[635.58911782],637.0200076940424
0,[118.],65.83741233820365
0,[24.],696.604970760234
0,[454.],931.2006472491909
0,[187.],29.4147908549688
0,[523.],181.86544683409113
1,[572.88077616],215.51350042277988
2,[626.16423285],243.4568655231816
0,[114.],102.66700236644203
1,[160.88717744],140.3606290052645
0,[571.],482.6862954745062
1,[625.0060012],509.24607016838456
0,[146.],333.9999999999999
0,[471.],617.0009788840689
0,[26.],348.2807017543859
0,[203.],454.1014556201769
0,[600.],934.2609162765402
0,[172.],155.73333333333335
0,[383.],353.8981735912655
1,[434.78375675],384.6048181681474
0,[25.],260.78113860408666
0,[277.],219.0
0,[213.],162.96841704718418
0,[86.],303.32160804019804
0,[501.],566.1840657284656
0,[619.],181.99999999996908
0,[39.],6.137964415557349
1,[61.28125625],61.707327313049376
2,[84.6235247],117.19284745142741
3,[109.02680536],172.2135941938883
4,[134.66793359],226.73579369099826
5,[161.72374475],280.6112005130724
6,[190.37107421],333.56507332451724
7,[220.96359272],385.46878085212984
8,[253.85497099],435.9200181707611
9,[289.57571514],484.4283565538605
10,[328.65633127],530.0055601926913
11,[372.33466693],571.6783614649773
12,[421.14122825],606.6726717154538
13,[475.96019204],631.4156152657208
14,[535.20004001],640.8329163809672
15,[594.61672334],632.2052864078287
16,[649.6125225],608.089601617593
17,[698.77275455],573.4069016453859
18,[742.45109022],532.1966674636317
19,[781.88537708],486.5888694155274
20,[817.60612122],438.3940537321815
21,[850.67433487],387.94682418733197
22,[881.26685337],336.28389256367365
23,[910.0910182],283.21693578189735
